Sr. No.,Pl. Name,Price,Sold to
1,Ajinkya Rahane ,5000000, Chennai Super Kings
2,Bhagath Varma ,2000000, Chennai Super Kings
3,Kyle Jamieson ,10000000, Chennai Super Kings
4,Ajay Mandal ,2000000, Chennai Super Kings
5,Nishant Sindhu ,6000000, Chennai Super Kings
6,Shaik Rasheed ,2000000, Chennai Super Kings
7,Ben Stokes ,162500000, Chennai Super Kings
1,Phil Salt ,20000000, Delhi Capitals
2,Ishant Sharma ,5000000, Delhi Capitals
3,Rilee Rossouw ,46000000, Delhi Capitals
4,Manish Pandey ,24000000, Delhi Capitals
5,Mukesh Kumar ,55000000, Delhi Capitals
1,Shivam Mavi ,60000000, Gujarat Titans
2,K.S. Bharat ,12000000, Gujarat Titans
3,Urvil Patel ,2000000, Gujarat Titans
4,Mohit Sharma ,5000000, Gujarat Titans
5,Joshua Little ,44000000, Gujarat Titans
6,Kane Williamson ,20000000, Gujarat Titans
7,Odean Smith ,5000000, Gujarat Titans
1,Kulwant Khejroliya ,2000000, Kolkata Knight Riders
2,Shakib Al Hasan ,15000000, Kolkata Knight Riders
3,Vaibhav Arora ,6000000, Kolkata Knight Riders
4,N. Jagadeesan ,9000000, Kolkata Knight Riders
5,David Wiese ,10000000, Kolkata Knight Riders
6,Mandeep Singh ,5000000, Kolkata Knight Riders
7,Litton Das ,5000000, Kolkata Knight Riders
8,Suyash Sharma ,2000000, Kolkata Knight Riders
1,Amit Mishra ,5000000, Lucknow Super Giants
2,Nicholas Pooran ,160000000, Lucknow Super Giants
3,Romario Shepherd ,5000000, Lucknow Super Giants
4,Daniel Sams ,7500000, Lucknow Super Giants
5,Swapnil Singh ,2000000, Lucknow Super Giants
6,Yudhvir Charak ,2000000, Lucknow Super Giants
7,Prerak Mankad ,2000000, Lucknow Super Giants
8,Yash Thakur ,4500000, Lucknow Super Giants
9,Naveen Ul Haq ,5000000, Lucknow Super Giants
10,Jaydev Unadkat ,5000000, Lucknow Super Giants
1,Jhye Richardson ,15000000, Mumbai Indians
2,Nehal Wadhera ,2000000, Mumbai Indians
3,Raghav Goyal ,2000000, Mumbai Indians
4,Cameron Green ,175000000, Mumbai Indians
5,Vishnu Vinod ,2000000, Mumbai Indians
6,Duan Jansen ,2000000, Mumbai Indians
7,Piyush Chawla ,5000000, Mumbai Indians
8,Shams Mulani ,2000000, Mumbai Indians
1,Harpreet Bhatia ,4000000, Punjab Kings
2,Shivam Singh ,2000000, Punjab Kings
3,Vidwath Kaverappa ,2000000, Punjab Kings
4,Mohit Rathee ,2000000, Punjab Kings
5,Sam Curran ,185000000, Punjab Kings
6,Sikandar Raza ,5000000, Punjab Kings
1,Jason Holder ,57500000, Rajasthan Royals
2,Adam Zampa ,15000000, Rajasthan Royals
3,Abdul P A ,2000000, Rajasthan Royals
4,Akash Vashisht ,2000000, Rajasthan Royals
5,Donovan Ferreira ,5000000, Rajasthan Royals
6,Kunal Rathore ,2000000, Rajasthan Royals
7,Joe Root ,10000000, Rajasthan Royals
8,Murugan Ashwin ,2000000, Rajasthan Royals
9,K.M. Asif ,3000000, Rajasthan Royals
1,Sonu Yadav ,2000000, Royal Challengers Bangalore
2,Himanshu Sharma ,2000000, Royal Challengers Bangalore
3,Avinash Singh ,6000000, Royal Challengers Bangalore
4,Manoj Bhandage ,2000000, Royal Challengers Bangalore
5,Will Jacks ,32000000, Royal Challengers Bangalore
6,Reece Topley ,19000000, Royal Challengers Bangalore
7,Rajan Kumar ,7000000, Royal Challengers Bangalore
1,Sanvir Singh ,2000000, Sunrisers Hyderabad
2,Harry Brook ,132500000, Sunrisers Hyderabad
3,Heinrich Klaasen ,52500000, Sunrisers Hyderabad
4,Akeal Hosein ,10000000, Sunrisers Hyderabad
5,Mayank Markande ,5000000, Sunrisers Hyderabad
6,Adil Rashid ,20000000, Sunrisers Hyderabad
7,Anmolpreet Singh ,2000000, Sunrisers Hyderabad
8,Vivrant Sharma ,26000000, Sunrisers Hyderabad
9,Samarth Vyas ,2000000, Sunrisers Hyderabad
10,Upendra Singh Yadav ,2500000, Sunrisers Hyderabad
11,Nitish Kumar Reddy ,2000000, Sunrisers Hyderabad
12,Mayank Agarwal ,82500000, Sunrisers Hyderabad
13,Mayank Dagar ,18000000, Sunrisers Hyderabad
