Sr. No.,Pl. Name,Price,Sold to
1,Krishnappa Gowtham,92500000, Chennai Super Kings
2,Moeen Ali,70000000, Chennai Super Kings
3,Cheteshwar Pujara,5000000, Chennai Super Kings
4,K.Bhagath Varma,2000000, Chennai Super Kings
5,C Hari Nishaanth,2000000, Chennai Super Kings
6,M. Harisankar Reddy,2000000, Chennai Super Kings
1,Tom Curran ,52500000, Delhi Capitals
2,Steven Smith ,22000000, Delhi Capitals
3,Sam Billings ,20000000, Delhi Capitals
4,Umesh Yadav ,10000000, Delhi Capitals
5,Ripal Patel ,2000000, Delhi Capitals
6,Vishnu Vinod ,2000000, Delhi Capitals
7,Lukman Hussain Meriwala ,2000000, Delhi Capitals
8,M Siddharth ,2000000, Delhi Capitals
1,Shakib Al Hasan ,32000000, Kolkata Knight Riders
2,Harbhajan Singh ,20000000, Kolkata Knight Riders
3,Ben Cutting ,7500000, Kolkata Knight Riders
4,Karun Nair ,5000000, Kolkata Knight Riders
5,Pawan Negi ,5000000, Kolkata Knight Riders
6,Venkatesh Iyer ,2000000, Kolkata Knight Riders
7,Sheldon Jackson ,2000000, Kolkata Knight Riders
8,Vaibhav Arora ,2000000, Kolkata Knight Riders
1,Nathan Coulter-Nile ,50000000, Mumbai Indians
2,Adam Milne ,32000000, Mumbai Indians
3,Piyush Chawla ,24000000, Mumbai Indians
4,James Neesham ,5000000, Mumbai Indians
5,Yudhvir Charak ,2000000, Mumbai Indians
6,Marco Jansen ,2000000, Mumbai Indians
7,Arjun Tendulkar ,2000000, Mumbai Indians
1,Jhye Richardson ,140000000, Punjab Kings
2,Riley Meredith ,80000000, Punjab Kings
3,Shahrukh Khan ,52500000, Punjab Kings
4,Moises Henriques ,42000000, Punjab Kings
5,Dawid Malan ,15000000, Punjab Kings
6,Fabian Allen ,7500000, Punjab Kings
7,Jalaj Saxena ,3000000, Punjab Kings
8,Saurabh Kumar ,2000000, Punjab Kings
9,Utkarsh Singh ,2000000, Punjab Kings
1,Christopher Morris ,162500000, Rajasthan Royals
2,Shivam Dube ,44000000, Rajasthan Royals
3,Chetan Sakariya ,12000000, Rajasthan Royals
4,Mustafizur Rahman ,10000000, Rajasthan Royals
5,Liam Livingstone ,7500000, Rajasthan Royals
6,K.C Cariappa ,2000000, Rajasthan Royals
7,Akash Singh ,2000000, Rajasthan Royals
8,Kuldip Yadav ,2000000, Rajasthan Royals
1,Kyle Jamieson ,150000000, Royal Challengers Bengaluru
2,Glenn Maxwell ,142500000, Royal Challengers Bengaluru
3,Dan Christian ,48000000, Royal Challengers Bengaluru
4,Sachin Baby ,2000000, Royal Challengers Bengaluru
5,Rajat Patidar ,2000000, Royal Challengers Bengaluru
6,Mohammed Azharudeen ,2000000, Royal Challengers Bengaluru
7,Suyash Prabhudesai ,2000000, Royal Challengers Bengaluru
8,Kona Srikar Bharat ,2000000, Royal Challengers Bengaluru
1,Kedar Jadhav ,20000000, Sunrisers Hyderabad
2,Mujeeb Zadran ,15000000, Sunrisers Hyderabad
3,J Suchith ,3000000, Sunrisers Hyderabad
