Sr. No.,Pl. Name,Price,Sold to
21,Arjun  Tendulkar ,3000000, Mumbai Indians
1,Shikhar Dhawan ,82500000, Punjab Kings
2,Kagiso Rabada ,92500000, Punjab Kings
3,Jonny Bairstow  ,67500000, Punjab Kings
4,Rahul Chahar ,52500000, Punjab Kings
5,Harpreet  Brar ,38000000, Punjab Kings
6,Shahrukh Khan ,90000000, Punjab Kings
7,Jitesh Sharma ,2000000, Punjab Kings
8,Prabhsimran Singh ,6000000, Punjab Kings
9,Ishan Porel ,2500000, Punjab Kings
10,Liam Livingstone ,115000000, Punjab Kings
11,Odean Smith ,60000000, Punjab Kings
12,Sandeep Sharma ,5000000, Punjab Kings
13,Raj Angad Bawa ,20000000, Punjab Kings
14,Rishi Dhawan ,5500000, Punjab Kings
15,Nathan Ellis ,7500000, Punjab Kings
16,Prerak Mankad ,2000000, Punjab Kings
17,Atharva Taide ,2000000, Punjab Kings
18,Vaibhav Arora ,20000000, Punjab Kings
19,Bhanuka Rajapaksa ,5000000, Punjab Kings
20,Benny Howell ,4000000, Punjab Kings
21,Writtick Chatterjee ,2000000, Punjab Kings
22,Baltej Dhanda ,2000000, Punjab Kings
23,Ansh Patel ,2000000, Punjab Kings
1,R. Ashwin ,50000000, Rajasthan Royals
2,Trent Boult ,80000000, Rajasthan Royals
3,Shimron Hetmyer ,85000000, Rajasthan Royals
4,Devdutt Padikkal ,77500000, Rajasthan Royals
5,Prasidh Krishna ,100000000, Rajasthan Royals
6,Yuzvendra Chahal ,65000000, Rajasthan Royals
7,Riyan Parag ,38000000, Rajasthan Royals
8,K.C Cariappa ,3000000, Rajasthan Royals
9,James Neesham ,15000000, Rajasthan Royals
10,Nathan Coulter-Nile ,20000000, Rajasthan Royals
11,Navdeep Saini ,26000000, Rajasthan Royals
12,Kuldeep  Sen ,2000000, Rajasthan Royals
13,Karun Nair ,14000000, Rajasthan Royals
14,Rassie Van Der Dussen ,10000000, Rajasthan Royals
15,Daryl Mitchell ,7500000, Rajasthan Royals
16,Obed Mccoy ,7500000, Rajasthan Royals
17,Dhruv Jurel ,2000000, Rajasthan Royals
18,Tejas Baroka ,2000000, Rajasthan Royals
19,Kuldip Yadav ,2000000, Rajasthan Royals
20,Shubham Garhwal ,2000000, Rajasthan Royals
21,Anunay Singh ,2000000, Rajasthan Royals
1,Faf Du Plessis ,70000000, Royal Challengers Bangalore
2,Wanindu Hasaranga ,107500000, Royal Challengers Bangalore
